time_ms,gx,gy,gz,ax,ay,az
3,-0.030377,-0.075409,-0.041435,-9.337387,0.881066,0.004788
17,-0.032508,-0.072877,-0.037971,-9.380483,0.883460,0.064643
30,-0.030377,-0.079406,-0.031842,-9.272743,0.895431,-0.026336
43,-0.031709,-0.087666,-0.027446,-9.272743,0.794875,0.076614
56,-0.030110,-0.089931,-0.028245,-9.325416,0.823605,0.100556
69,-0.036106,-0.083136,-0.035440,-9.447520,0.871489,0.124498
82,-0.038104,-0.075409,-0.043300,-9.406818,0.780510,-0.016759
95,-0.049429,-0.075276,-0.042101,-9.318233,0.828394,0.107739
108,-0.056357,-0.075009,-0.036772,-9.368511,0.816423,0.021548
121,-0.061020,-0.078207,-0.032109,-9.255983,0.778116,0.026336
134,-0.059288,-0.079539,-0.025847,-9.330204,0.871489,0.074220
147,-0.055824,-0.084469,-0.021850,-9.421184,0.926556,0.031125
160,-0.045565,-0.080338,-0.023982,-9.394848,0.857124,0.057461
173,-0.045565,-0.077674,-0.028112,-9.390059,0.797269,0.000000
186,-0.041168,-0.074876,-0.039436,-9.378088,0.861913,0.059855
199,-0.044632,-0.071279,-0.041701,-9.382876,0.804452,-0.002394
212,-0.053292,-0.072744,-0.034240,-9.277532,0.787692,0.038307
225,-0.061553,-0.074343,-0.030243,-9.301474,0.723049,0.114922
238,-0.072345,-0.076475,-0.023715,-9.337387,0.797269,0.055067
251,-0.073677,-0.079539,-0.019851,-9.342175,0.816423,0.244209
264,-0.067415,-0.084868,-0.025580,-9.387665,0.864307,0.119710
277,-0.060753,-0.080738,-0.033041,-9.375694,0.864307,-0.038307
290,-0.055025,-0.077407,-0.040103,-9.356541,0.790087,0.169988
303,-0.059288,-0.075675,-0.038504,-9.409213,0.754174,0.026336
316,-0.071012,-0.075675,-0.034507,-9.337387,0.677559,-0.031125
329,-0.086467,-0.077141,-0.026513,-9.356541,0.713472,0.031125
342,-0.088466,-0.082470,-0.026247,-9.351752,0.849942,0.114922
2539,-0.058622,-0.086467,-0.026913,-9.325416,0.768539,-0.004788
2552,-0.060087,-0.086600,-0.028911,-9.296685,0.778116,0.122104
2565,-0.054758,-0.088066,-0.031309,-9.344569,0.758962,0.093374
2578,-0.053559,-0.089931,-0.037438,-9.313444,0.854730,0.007183
2591,-0.042101,-0.088865,-0.034773,-9.392453,0.833182,0.158017
2604,-0.040769,-0.087533,-0.039969,-9.306262,0.876278,0.045490
2617,-0.040369,-0.083669,-0.043300,-9.366117,0.758962,0.021548
2630,-0.042634,-0.083403,-0.035573,-9.433155,0.751779,0.081403
2643,-0.048230,-0.086334,-0.031176,-9.361329,0.727837,0.059855
2656,-0.063951,-0.090064,-0.023715,-9.351752,0.730232,0.000000
2669,-0.070613,-0.085002,-0.022783,-9.334992,0.833182,-0.014365
2682,-0.070746,-0.087133,-0.025447,-9.363723,0.821211,0.007183
2695,-0.070346,-0.083936,-0.030776,-9.378088,0.835576,-0.043096
2708,-0.066482,-0.083536,-0.031176,-9.425972,0.828394,0.004788
2721,-0.057822,-0.084202,-0.033175,-9.368511,0.811634,0.004788
2734,-0.052760,-0.084735,-0.029444,-9.385271,0.845153,0.004788
2747,-0.043833,-0.081804,-0.024648,-9.370906,0.859518,0.016759
2760,-0.040902,-0.086467,-0.025314,-9.320627,0.792481,0.088585
2773,-0.030643,-0.085268,-0.026247,-9.390059,0.864307,0.181959
2786,-0.031309,-0.088066,-0.025447,-9.464279,0.823605,0.088585
2799,-0.031309,-0.089798,-0.023848,-9.423578,0.672771,0.090980
2812,-0.040636,-0.086067,-0.025580,-9.358934,0.663194,0.002394
2825,-0.052227,-0.085801,-0.029577,-9.363723,0.663194,0.081403
2838,-0.060753,-0.087533,-0.034107,-9.349358,0.749385,0.050278
2851,-0.065550,-0.092329,-0.033041,-9.342175,0.766145,0.040701
2864,-0.068348,-0.094194,-0.032642,-9.337387,0.763750,0.000000
2877,-0.067282,-0.095926,-0.025714,-9.397242,0.835576,0.011971
2890,-0.066616,-0.091397,-0.024248,-9.375694,0.818817,0.081403
2903,-0.066083,-0.090597,-0.026779,-9.469068,0.804452,0.016759
2916,-0.067015,-0.082204,-0.028112,-9.416395,0.849942,-0.028730
2929,-0.058888,-0.081937,-0.028778,-9.267955,0.833182,-0.023942
2942,-0.053959,-0.083003,-0.027579,-9.320627,0.828394,-0.079009
2955,-0.052360,-0.086334,-0.025447,-9.406818,0.857124,0.129287
2968,-0.047564,-0.081804,-0.028511,-9.409213,0.837971,-0.059855
2981,-0.044366,-0.084602,-0.027312,-9.380483,0.814029,-0.136469
2994,-0.039570,-0.087666,-0.028112,-9.354146,0.720655,0.016759
